L(m)	Z(m)
0.0 70.9337
0.998913	70.9844
1.997826	71.0195
2.996738	71.029
3.995651	71.042
4.994564	71.0724
5.993477	71.1271
6.99239	71.1383
7.991303	71.1257
8.990215	71.1249
9.989128	71.1551
10.988041	71.2085
11.986954	71.2897
12.985867	71.4588
13.98478	71.5543
14.983692	71.5906
15.982605	71.5932
16.981518	71.588
17.980431	71.6135
18.979344	71.6484
19.978257	71.7034
20.977169	71.8137
21.976082	71.9206
22.974995	71.9471
23.973908	71.9609
24.972821	72.0046
25.971733	72.0168
26.970646	71.9906
27.969559	71.9654
28.968472	71.9708
29.967385	71.988
30.966298	72.0061
31.96521	72.0666
32.964123	72.235
33.963036	72.4414
34.961949	72.5831
35.960862	72.7013
36.959775	72.8435
37.958687	72.8711
38.9576	72.8925
39.956513	72.9136
40.955426	72.8936
41.954339	72.9045
42.953252	72.9413
43.952164	73.1225
44.951077	73.8233
45.94999	74.2023
46.948903	74.3151
47.947816	74.3126
48.946728	74.3105
49.945641	74.2589
50.944554	74.1946
51.943467	74.1719
52.94238	74.185
53.941293	74.2409
54.940205	74.3147
55.939118	74.3264
56.938031	74.3321
57.936944	74.3344
58.935857	74.3565
59.93477	74.3763
60.933682	74.391
61.932595	74.402
62.931508	74.4289
63.930421	74.4599
64.929334	74.5022
65.928247	74.5365
66.927159	74.5705
67.926072	74.6018
68.924985	74.6306
69.923898	74.6591
70.922811	74.6804
71.921724	74.6692
72.920636	74.6821
73.919549	74.6705
74.918462	74.6641
75.917375	74.7446
76.916288	74.7972
77.9152	74.8245
78.914113	75.0425
79.913026	75.3094
80.911939	75.4994
81.910852	75.6741
82.909765	75.7927
83.908677	75.7043
84.90759	75.8116
85.906503	76.4475
86.905416	77.1212
87.904329	77.8285
88.903242	78.5682
89.902154	79.1544
90.901067	79.3866
91.89998	79.4387
92.898893	79.4487
93.897806	79.41
94.896719	79.3855
95.895631	79.4646
96.894544	79.4876
97.893457	79.5023
98.89237	79.5379
99.891283	79.5984
100.890195	79.6222
101.889108	79.6169
102.888021	79.5891
103.886934	79.518
104.885847	79.5096
105.88476	79.5538
106.883672	79.5618
